addr,input_hex,input_value,output_hex,output_value
715,5960,3.171875,585B,3.044434
716,5980,3.187500,587D,3.061035
717,59A0,3.203125,58A0,3.078125
718,59C0,3.218750,58C2,3.094727
719,59E0,3.234375,58E5,3.111816
720,5A00,3.250000,5908,3.128906
721,5A20,3.265625,592A,3.145508
722,5A40,3.281250,594D,3.162598
723,5A60,3.296875,596F,3.179199
724,5A80,3.312500,5992,3.196289
725,5AA0,3.328125,59B4,3.212891
726,5AC0,3.343750,59D6,3.229492
727,5AE0,3.359375,59F9,3.246582
728,5B00,3.375000,5A1B,3.263184
729,5B20,3.390625,5A3E,3.280273
730,5B40,3.406250,5A60,3.296875
731,5B60,3.421875,5A82,3.313477
732,5B80,3.437500,5AA5,3.330566
733,5BA0,3.453125,5AC7,3.347168
734,5BC0,3.468750,5AE9,3.363770
735,5BE0,3.484375,5B0C,3.380859
736,5C00,3.500000,5B2E,3.397461
737,5C20,3.515625,5B50,3.414062
738,5C40,3.531250,5B72,3.430664
739,5C60,3.546875,5B95,3.447754
740,5C80,3.562500,5BB7,3.464355
741,5CA0,3.578125,5BD9,3.480957
742,5CC0,3.593750,5BFB,3.497559
743,5CE0,3.609375,5C1D,3.514160
744,5D00,3.625000,5C3F,3.530762
745,5D20,3.640625,5C61,3.547363
746,5D40,3.656250,5C83,3.563965
747,5D60,3.671875,5CA6,3.581055
748,5D80,3.687500,5CC8,3.597656
749,5DA0,3.703125,5CEA,3.614258
750,5DC0,3.718750,5D0C,3.630859
751,5DE0,3.734375,5D2E,3.647461
752,5E00,3.750000,5D50,3.664062
753,5E20,3.765625,5D71,3.680176
754,5E40,3.781250,5D93,3.696777
755,5E60,3.796875,5DB5,3.713379
756,5E80,3.812500,5DD7,3.729980
757,5EA0,3.828125,5DF9,3.746582
758,5EC0,3.843750,5E1B,3.763184
759,5EE0,3.859375,5E3D,3.779785
760,5F00,3.875000,5E5F,3.796387
761,5F20,3.890625,5E80,3.812500
762,5F40,3.906250,5EA2,3.829102
763,5F60,3.921875,5EC4,3.845703
764,5F80,3.937500,5EE6,3.862305
765,5FA0,3.953125,5F08,3.878906
766,5FC0,3.968750,5F29,3.895020
767,5FE0,3.984375,5F4B,3.911621
768,6000,4.000000,5F6D,3.928223
769,6020,4.062500,5FF3,3.993652
770,6040,4.125000,601E,4.058594
771,6060,4.187500,6040,4.125000
772,6080,4.250000,6061,4.189453
773,60A0,4.312500,6083,4.255859
774,60C0,4.375000,60A4,4.320312
775,60E0,4.437500,60C5,4.384766
776,6100,4.500000,60E7,4.451172
777,6120,4.562500,6108,4.515625
778,6140,4.625000,6129,4.580078
779,6160,4.687500,614A,4.644531
780,6180,4.750000,616B,4.708984
781,61A0,4.812500,618C,4.773438
782,61C0,4.875000,61AD,4.837891
783,61E0,4.937500,61CE,4.902344
784,6200,5.000000,61EF,4.966797
785,6220,5.062500,6210,5.031250
786,6240,5.125000,6230,5.093750
787,6260,5.187500,6251,5.158203
788,6280,5.250000,6272,5.222656
789,62A0,5.312500,6293,5.287109
790,62C0,5.375000,62B3,5.349609
791,62E0,5.437500,62D4,5.414062
792,6300,5.500000,62F5,5.478516
793,6320,5.562500,6315,5.541016
794,6340,5.625000,6336,5.605469
795,6360,5.687500,6356,5.667969
796,6380,5.750000,6377,5.732422
797,63A0,5.812500,6397,5.794922
798,63C0,5.875000,63B8,5.859375
799,63E0,5.937500,63D8,5.921875
800,6400,6.000000,63F8,5.984375
801,6420,6.062500,6419,6.048828
802,6440,6.125000,6439,6.111328
803,6460,6.187500,645A,6.175781
804,6480,6.250000,647A,6.238281
805,64A0,6.312500,649A,6.300781
806,64C0,6.375000,64BA,6.363281
807,64E0,6.437500,64DB,6.427734
808,6500,6.500000,64FB,6.490234
809,6520,6.562500,651B,6.552734
810,6540,6.625000,653C,6.617188
811,6560,6.687500,655C,6.679688
812,6580,6.750000,657C,6.742188
813,65A0,6.812500,659C,6.804688
814,65C0,6.875000,65BC,6.867188
815,65E0,6.937500,65DD,6.931641
816,6600,7.000000,65FD,6.994141
817,6620,7.062500,661D,7.056641
818,6640,7.125000,663D,7.119141
819,6660,7.187500,665D,7.181641
820,6680,7.250000,667D,7.244141
821,66A0,7.312500,669E,7.308594
822,66C0,7.375000,66BE,7.371094
823,66E0,7.437500,66DE,7.433594
824,6700,7.500000,66FE,7.496094
825,6720,7.562500,671E,7.558594
826,6740,7.625000,673E,7.621094
827,6760,7.687500,675E,7.683594
828,6780,7.750000,677E,7.746094
829,67A0,7.812500,679E,7.808594
830,67C0,7.875000,67BE,7.871094
831,67E0,7.937500,67DF,7.935547
832,6800,8.000000,67FF,7.998047
833,6820,8.125000,681F,8.121094
834,6840,8.250000,683F,8.246094
835,6860,8.375000,6860,8.375000
836,6880,8.500000,6880,8.500000
837,68A0,8.625000,68A0,8.625000
838,68C0,8.750000,68C0,8.750000
839,68E0,8.875000,68E0,8.875000
840,6900,9.000000,6900,9.000000
841,6920,9.125000,6920,9.125000
842,6940,9.250000,6940,9.250000
843,6960,9.375000,6960,9.375000
844,6980,9.500000,6980,9.500000
845,69A0,9.625000,69A0,9.625000
846,69C0,9.750000,69C0,9.750000
847,69E0,9.875000,69E0,9.875000
848,6A00,10.000000,6A00,10.000000
849,6A20,10.125000,6A20,10.125000
850,6A40,10.250000,6A40,10.250000
851,6A60,10.375000,6A60,10.375000
852,6A80,10.500000,6A80,10.500000
853,6AA0,10.625000,6AA0,10.625000
854,6AC0,10.750000,6AC0,10.750000
855,6AE0,10.875000,6AE0,10.875000
856,6B00,11.000000,6B00,11.000000
857,6B20,11.125000,6B20,11.125000
858,6B40,11.250000,6B40,11.250000
859,6B60,11.375000,6B60,11.375000
860,6B80,11.500000,6B80,11.500000
861,6BA0,11.625000,6BA0,11.625000
862,6BC0,11.750000,6BC0,11.750000
863,6BE0,11.875000,6BE0,11.875000
864,6C00,12.000000,6C00,12.000000
865,6C20,12.125000,6C20,12.125000
866,6C40,12.250000,6C40,12.250000
867,6C60,12.375000,6C60,12.375000
868,6C80,12.500000,6C80,12.500000
869,6CA0,12.625000,6CA0,12.625000
870,6CC0,12.750000,6CC0,12.750000
871,6CE0,12.875000,6CE0,12.875000
872,6D00,13.000000,6D00,13.000000
873,6D20,13.125000,6D20,13.125000
874,6D40,13.250000,6D40,13.250000
875,6D60,13.375000,6D60,13.375000
876,6D80,13.500000,6D80,13.500000
877,6DA0,13.625000,6DA0,13.625000
878,6DC0,13.750000,6DC0,13.750000
879,6DE0,13.875000,6DE0,13.875000
880,6E00,14.000000,6E00,14.000000
881,6E20,14.125000,6E20,14.125000
882,6E40,14.250000,6E40,14.250000
883,6E60,14.375000,6E60,14.375000
884,6E80,14.500000,6E80,14.500000
885,6EA0,14.625000,6EA0,14.625000
886,6EC0,14.750000,6EC0,14.750000
887,6EE0,14.875000,6EE0,14.875000
888,6F00,15.000000,6F00,15.000000
889,6F20,15.125000,6F20,15.125000
890,6F40,15.250000,6F40,15.250000
891,6F60,15.375000,6F60,15.375000
892,6F80,15.500000,6F80,15.500000
893,6FA0,15.625000,6FA0,15.625000
894,6FC0,15.750000,6FC0,15.750000
895,6FE0,15.875000,6FE0,15.875000
896,7000,16.000000,6FFF,15.996094
897,7020,16.500000,7020,16.500000
898,7040,17.000000,7040,17.000000
899,7060,17.500000,7060,17.500000
900,7080,18.000000,7080,18.000000
901,70A0,18.500000,70A0,18.500000
902,70C0,19.000000,70C0,19.000000
903,70E0,19.500000,70E0,19.500000
904,7100,20.000000,7100,20.000000
905,7120,20.500000,7120,20.500000
906,7140,21.000000,7140,21.000000
907,7160,21.500000,7160,21.500000
908,7180,22.000000,7180,22.000000
909,71A0,22.500000,71A0,22.500000
910,71C0,23.000000,71C0,23.000000
911,71E0,23.500000,71E0,23.500000
912,7200,24.000000,7200,24.000000
913,7220,24.500000,7220,24.500000
914,7240,25.000000,7240,25.000000
915,7260,25.500000,7260,25.500000
916,7280,26.000000,7280,26.000000
917,72A0,26.500000,72A0,26.500000
918,72C0,27.000000,72C0,27.000000
919,72E0,27.500000,72E0,27.500000
920,7300,28.000000,7300,28.000000
921,7320,28.500000,7320,28.500000
922,7340,29.000000,7340,29.000000
923,7360,29.500000,7360,29.500000
924,7380,30.000000,7380,30.000000
925,73A0,30.500000,73A0,30.500000
926,73C0,31.000000,73C0,31.000000
927,73E0,31.500000,73E0,31.500000
928,7400,32.000000,7400,32.000000
929,7420,33.000000,7420,33.000000
930,7440,34.000000,7440,34.000000
931,7460,35.000000,7460,35.000000
932,7480,36.000000,7480,36.000000
933,74A0,37.000000,74A0,37.000000
934,74C0,38.000000,74C0,38.000000
935,74E0,39.000000,74E0,39.000000
936,7500,40.000000,7500,40.000000
937,7520,41.000000,7520,41.000000
938,7540,42.000000,7540,42.000000
939,7560,43.000000,7560,43.000000
940,7580,44.000000,7580,44.000000
941,75A0,45.000000,75A0,45.000000
942,75C0,46.000000,75C0,46.000000
943,75E0,47.000000,75E0,47.000000
944,7600,48.000000,7600,48.000000
945,7620,49.000000,7620,49.000000
946,7640,50.000000,7640,50.000000
947,7660,51.000000,7660,51.000000
948,7680,52.000000,7680,52.000000
949,76A0,53.000000,76A0,53.000000
950,76C0,54.000000,76C0,54.000000
951,76E0,55.000000,76E0,55.000000
952,7700,56.000000,7700,56.000000
953,7720,57.000000,7720,57.000000
954,7740,58.000000,7740,58.000000
955,7760,59.000000,7760,59.000000
956,7780,60.000000,7780,60.000000
957,77A0,61.000000,77A0,61.000000
958,77C0,62.000000,77C0,62.000000
959,77E0,63.000000,77E0,63.000000
960,7800,64.000000,7800,64.000000
961,7820,68.000000,7800,64.000000
962,7840,72.000000,7800,64.000000
963,7860,76.000000,7800,64.000000
964,7880,80.000000,7800,64.000000
965,78A0,84.000000,7800,64.000000
966,78C0,88.000000,7800,64.000000
967,78E0,92.000000,7800,64.000000
968,7900,96.000000,7800,64.000000
969,7920,100.000000,7800,64.000000
970,7940,104.000000,7800,64.000000
971,7960,108.000000,7800,64.000000
972,7980,112.000000,7800,64.000000
973,79A0,116.000000,7800,64.000000
974,79C0,120.000000,7800,64.000000
975,79E0,124.000000,7800,64.000000
976,7A00,128.000000,7800,64.000000
977,7A20,136.000000,7800,64.000000
978,7A40,144.000000,7800,64.000000
979,7A60,152.000000,7800,64.000000
980,7A80,160.000000,7800,64.000000
981,7AA0,168.000000,7800,64.000000
982,7AC0,176.000000,7800,64.000000
983,7AE0,184.000000,7800,64.000000
984,7B00,192.000000,7800,64.000000
985,7B20,200.000000,7800,64.000000
986,7B40,208.000000,7800,64.000000
987,7B60,216.000000,7800,64.000000
988,7B80,224.000000,7800,64.000000
989,7BA0,232.000000,7800,64.000000
990,7BC0,240.000000,7800,64.000000
991,7BE0,248.000000,7800,64.000000
992,7C00,64.000000,7800,64.000000
993,7C20,72.000000,7800,64.000000
994,7C40,80.000000,7800,64.000000
995,7C60,88.000000,7800,64.000000
996,7C80,96.000000,7800,64.000000
997,7CA0,104.000000,7800,64.000000
998,7CC0,112.000000,7800,64.000000
999,7CE0,120.000000,7800,64.000000
1000,7D00,128.000000,7800,64.000000
1001,7D20,144.000000,7800,64.000000
1002,7D40,160.000000,7800,64.000000
1003,7D60,176.000000,7800,64.000000
1004,7D80,192.000000,7800,64.000000
1005,7DA0,208.000000,7800,64.000000
1006,7DC0,224.000000,7800,64.000000
1007,7DE0,240.000000,7800,64.000000
1008,7E00,64.000000,7800,64.000000
1009,7E20,80.000000,7800,64.000000
1010,7E40,96.000000,7800,64.000000
1011,7E60,112.000000,7800,64.000000
1012,7E80,128.000000,7800,64.000000
1013,7EA0,160.000000,7800,64.000000
1014,7EC0,192.000000,7800,64.000000
1015,7EE0,224.000000,7800,64.000000
1016,7F00,64.000000,7800,64.000000
1017,7F20,96.000000,7800,64.000000
1018,7F40,128.000000,7800,64.000000
1019,7F60,192.000000,7800,64.000000
1020,7F80,64.000000,7800,64.000000
1021,7FA0,128.000000,7800,64.000000
1022,7FC0,64.000000,7800,64.000000
1023,7FE0,64.000000,7800,64.000000
